Component,Condition,Bus1,Bus2
MTR204,IYS1_IYRMG2_PM8\MMXU1\PPV\zavg >= 50,200,
MTR205,IYS1_IYLV1_PM8\MMXU1\PPV\zavg >= 50,200,
MTR206,IYS1_IYCBT1_PM8\MMXU1\PPV\zavg >= 50,200,
MTR208,IYS1_SPR_4L_PM8\MMXU1\PPV\zavg >= 50,200,
BKR200,(IYS1_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (IYS1_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),125,200
BKR201,(IYS1_IYRMG1_PM8\P26_GGIO1\ZMtrInd1\zInd) & (IYS1_IYRMG1_PM8\P26_GGIO1\ZMtrInd3\zInd),200,201
BKR202,(IYS1_TIE_IYS2_PM8\P26_GGIO1\ZMtrInd1\zInd) & (IYS1_TIE_IYS2_PM8\P26_GGIO1\ZMtrInd3\zInd),200,202
BKR203,(IYS1_IYRMG3_PM8\P26_GGIO1\ZMtrInd1\zInd) & (IYS1_IYRMG3_PM8\P26_GGIO1\ZMtrInd3\zInd),200,203
BKR204,(IYS1_IYRMG2_PM8\P26_GGIO1\ZMtrInd1\zInd) & (IYS1_IYRMG2_PM8\P26_GGIO1\ZMtrInd3\zInd),200,204
BKR205,(IYS1_IYLV1_PM8\P26_GGIO1\ZMtrInd1\zInd) & (IYS1_IYLV1_PM8\P26_GGIO1\ZMtrInd3\zInd),200,205
BKR206,(IYS1_IYCBT1_PM8\P26_GGIO1\ZMtrInd1\zInd) & (IYS1_IYCBT1_PM8\P26_GGIO1\ZMtrInd3\zInd),200,206
BKR208,(IYS1_SPR_4L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (IYS1_SPR_4L_PM8\P26_GGIO1\ZMtrInd3\zInd),200,208
,,,
// IYLV1_OL,,,
MTR210,IYLV1_MAIN_PM8\MMXU1\PPV\zavg >= 50,210,
BKR210,1,205,210
BKR211,IYLV1_MAIN_MTU\XCBR1\Pos = 2,210,211
,,,
// IYCBT1_OL,,,
MTR213,IYCBT1_MAIN_PM8\MMXU1\PPV\zavg >= 50,213,
BKR213,1,206,213
BKR214,IYCBT1_MAIN_MTU\XCBR1\Pos = 2,213,214
,,,
// RP1_OL,,,
MTR216,RP1_MAIN_PM8\MMXU1\PPV\zavg >= 50,216,
BKR216,1,30,216
BKR217,RP1_MAIN_MTU\XCBR1\Pos = 2,216,217
,,,
// RP2_OL,,,
MTR218,RP2_MAIN_PM8\MMXU1\PPV\zavg >= 50,218,
BKR218,1,30,218
BKR219,RP2_MAIN_MTU\XCBR1\Pos = 2,218,219
,,,
// DB1_OL,,,
MTR220,DB1_MAIN_CM4\MMXU1\PPV\zavg >= 50,220,
BKR221,DB1_M1_MTU\XCBR1\Pos = 2,220,221
BKR222,DB1_PV_MTU\XCBR1\Pos = 2,221,222
,,,
// MSB_SWBD_OL,,,
MTR225,MSB_SWBD_MAIN_CM4\MMXU1\PPV\zavg >= 50,225,
BKR226,MSB_SWBD_MAIN_MTU\XCBR1\Pos = 2,225,226
BKR260,MSB_SWBD_MAIN_CM4\C44_GGIO2\ZMtrInd1\zInd,226,260
BKR261,MSB_SWBD_MAIN_CM4\C44_GGIO2\ZMtrInd2\zInd,226,261
BKR262,MSB_SWBD_MAIN_CM4\C44_GGIO2\ZMtrInd3\zInd,226,262
BKR263,MSB_SWBD_FDR_MTU\XCBR1\Pos = 2,226,263
BKR264,MSB_SWBD_MAIN_CM4\C44_GGIO2\ZMtrInd4\zInd,226,264
BKR265,MSB_SWBD_MAIN_CM4\IOX_GGIO3\ZMtrInd1\zInd,226,265
BKR266,MSB_SWBD_MAIN_CM4\IOX_GGIO3\ZMtrInd2\zInd,226,266
BKR281,1,281,225
,,,
// DPB_OL,,,
MTR230,DPB_MAIN_PM8\MMXU1\PPV\zavg >= 50,230,
BKR231,DPB_MAIN_MTU\XCBR1\Pos = 2,230,231
BKR254,DPB_MAIN_PM8\P26_GGIO1\ZMtrInd6\zInd,231,254
BKR255,DPB_MAIN_PM8\P26_GGIO1\ZMtrInd5\zInd,231,255
BKR256,DPB_MAIN_PM8\P26_GGIO1\ZMtrInd4\zInd,231,256
BKR257,DPB_MAIN_PM8\P26_GGIO1\ZMtrInd3\zInd,231,257
BKR258,DPB_MAIN_PM8\P26_GGIO1\ZMtrInd2\zInd,231,258
BKR259,DPB_MAIN_PM8\P26_GGIO1\ZMtrInd1\zInd,231,259
BKR282,0,282,230
BKR283,1,263,230
SRC50,0,282,

,,,
// DPE_OL,,,
MTR233,DPE_MAIN_PM8\MMXU1\PPV\zavg >= 50,233,
BKR234,DPE_MAIN_MTU\XCBR1\Pos = 2,233,234
BKR235,DPE_MAIN_PM8\P26_GGIO1\ZMtrInd6\zInd,234,235
BKR236,DPE_MAIN_PM8\P26_GGIO1\ZMtrInd5\zInd,234,236
BKR237,DPE_MAIN_PM8\P26_GGIO1\ZMtrInd4\zInd,234,237
BKR238,DPE_MAIN_PM8\P26_GGIO1\ZMtrInd3\zInd,234,238
BKR239,DPE_MAIN_PM8\P26_GGIO1\ZMtrInd2\zInd,234,239
BKR240,DPE_MAIN_PM8\P26_GGIO1\ZMtrInd1\zInd,234,240
,,,
// DPC_OL,,,
MTR241,DPC_MAIN_CM4\MMXU1\PPV\zavg >= 50,241,
BKR242,DPC_MAIN_MTU\XCBR1\Pos = 2,241,242
BKR243,DPC_MAIN_CM4\C44_GGIO2\ZMtrInd1\zInd,242,243
BKR244,DPC_MAIN_CM4\C44_GGIO2\ZMtrInd2\zInd,242,244
BKR245,DPC_MAIN_CM4\C44_GGIO2\ZMtrInd3\zInd,242,245
BKR246,DPC_MAIN_CM4\C44_GGIO2\ZMtrInd4\zInd,242,246
BKR247,DPC_MAIN_CM4\IOX_GGIO3\ZMtrInd1\zInd,242,247
BKR248,DPC_MAIN_CM4\IOX_GGIO3\ZMtrInd2\zInd,242,248
BKR249,DPC_MAIN_CM4\IOX_GGIO3\ZMtrInd3\zInd,242,249
BKR250,DPC_MAIN_CM4\IOX_GGIO3\ZMtrInd4\zInd,242,250
BKR251,DPC_MAIN_CM4\IOX_GGIO3\ZMtrInd5\zInd,242,251
BKR252,DPC_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd,242,252
BKR280,1,280,241
,,,
// MDB2_3_OL,,,
BKR268,MDB2_MAIN_MTU\XCBR1\Pos = 2,15,268
BKR269,MDB3_MAIN_MTU\XCBR1\Pos = 2,29,269
,,,
// MDB2_3_OL,,,
MTR270,MSP_MAIN_CM4\MMXU1\PPV\zavg >= 50,270,
BKR271,MSP_MAIN_MTU\XCBR1\Pos = 2,270,271
BKR272,MSP_PSH3_MTU\XCBR1\Pos = 2,271,272
BKR273,MSP_PSH4_MTU\XCBR1\Pos = 2,271,273
BKR274,MSP_PSH1_MTU\XCBR1\Pos = 2,271,274
,,,
// SS1_2_3_OL,,,
BKR290,1,1000,1000
BKR291,1,1000,1000
BKR292,1,1000,1000
BKR293,1,1000,1000
BKR294,1,1000,1000
BKR295,1,1000,1000
BKR296,1,1000,1000
BKR297,1,1000,1000
BKR298,1,1000,1000
,,,
// MDB11_OL,,,
MTR300,BXB_BLDG_MDB11_MTU\MMXU1\PPV\zavg >= 50,196,
BKR300,BXB_BLDG_MDB11_MTU\XCBR1\Pos = 2,196,300
,,,
// MDB12_OL,,,
MTR301,BXB_BLDG_MDB12_MTU\MMXU1\PPV\zavg >= 50,197,
BKR301,BXB_BLDG_MDB12_MTU\XCBR1\Pos = 2,197,301
,,,
// MDB10_OL,,,
MTR302,BXB_BLDG_MDB10_MTU\MMXU1\PPV\zavg >= 50,195,
BKR302,BXB_BLDG_MDB10_MTU\XCBR1\Pos = 2,195,302
,,,
// MDB6_OL,,,
MTR303,BXB_BLDG_MDB6_MTU\MMXU1\PPV\zavg >= 50,187,
BKR303,BXB_BLDG_MDB6_MTU\XCBR1\Pos = 2,187,303
,,,
// MDB5_OL,,,
MTR304,BXB_BLDG_MDB5_MTU\MMXU1\PPV\zavg >= 50,186,
BKR304,BXB_BLDG_MDB5_MTU\XCBR1\Pos = 2,186,304
,,,
// MDB4_OL,,,
MTR305,BXB_BLDG_MDB4_MTU\MMXU1\PPV\zavg >= 50,185,
BKR305,BXB_BLDG_MDB4_MTU\XCBR1\Pos = 2,185,305
,,,
// MDB3_OL,,,
MTR306,BXB_BLDG_MDB3_MTU\MMXU1\PPV\zavg >= 50,184,
BKR306,BXB_BLDG_MDB3_MTU\XCBR1\Pos = 2,184,306
,,,
// CYSS3A_OL,,,
MTR310,CYSS3A_MAIN_CM4\MMXU1\PPV\zavg >= 50,131,
MTR311,CYSS3A_ASC17L_PM8\MMXU1\PPV\zavg >= 50,310,
MTR312,CYSS3A_ASC18W_PM8\MMXU1\PPV\zavg >= 50,310,
MTR313,CYSS3A_ASC19L_PM8\MMXU1\PPV\zavg >= 50,310,
MTR314,CYSS3A_SPR_4L_PM8\MMXU1\PPV\zavg >= 50,310,
MTR315,CYSS3A_ASC21L_PM8\MMXU1\PPV\zavg >= 50,310,
MTR316,CYSS3A_SPR_5L_PM8\MMXU1\PPV\zavg >= 50,310,
MTR317,CYSS3A_ASC23L_PM8\MMXU1\PPV\zavg >= 50,310,
MTR318,CYSS3A_ASC24W_PM8\MMXU1\PPV\zavg >= 50,310,
MTR319,CYSS3A_ASC25L_PM8\MMXU1\PPV\zavg >= 50,310,
MTR320,CYSS3A_SPR_7L_PM8\MMXU1\PPV\zavg >= 50,310,
BKR321,0,310,330
BKR310,(CYSS3A_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYSS3A_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),131,310
BKR311,(CYSS3A_ASC17L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_ASC17L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,311
BKR312,(CYSS3A_ASC18W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_ASC18W_PM8\P26_GGIO1\ZMtrInd3\zInd),310,312
BKR313,(CYSS3A_ASC19L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_ASC19L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,313
BKR314,(CYSS3A_SPR_4L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_SPR_4L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,314
BKR315,(CYSS3A_ASC21L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_ASC21L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,315
BKR316,(CYSS3A_SPR_5L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_SPR_5L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,316
BKR317,(CYSS3A_ASC23L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_ASC23L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,317
BKR318,(CYSS3A_ASC24W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_ASC24W_PM8\P26_GGIO1\ZMtrInd3\zInd),310,318
BKR319,(CYSS3A_ASC25L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_ASC25L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,319
BKR320,(CYSS3A_SPR_7L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3A_SPR_7L_PM8\P26_GGIO1\ZMtrInd3\zInd),310,320
// CYSS3B_OL,,,
MTR330,CYSS3B_MAIN_CM4\MMXU1\PPV\zavg >= 50,143,
MTR331,CYSS3B_ASC25W_PM8\MMXU1\PPV\zavg >= 50,330,
MTR332,CYSS3B_SPR_3L_PM8\MMXU1\PPV\zavg >= 50,330,
MTR333,CYSS3B_ASC23W_PM8\MMXU1\PPV\zavg >= 50,330,
MTR334,CYSS3B_ASC24L_PM8\MMXU1\PPV\zavg >= 50,330,
MTR335,CYSS3B_SPR_5U_PM8\MMXU1\PPV\zavg >= 50,330,
MTR336,CYSS3B_ASC22L_PM8\MMXU1\PPV\zavg >= 50,330,
MTR337,CYSS3B_ASC19W_PM8\MMXU1\PPV\zavg >= 50,330,
MTR338,CYSS3B_ASC20L_PM8\MMXU1\PPV\zavg >= 50,330,
MTR339,CYSS3B_ASC17W_PM8\MMXU1\PPV\zavg >= 50,330,
MTR340,CYSS3B_ASC18L_PM8\MMXU1\PPV\zavg >= 50,330,
BKR330,(CYSS3B_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYSS3B_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),143,330
BKR331,(CYSS3B_ASC25W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC25W_PM8\P26_GGIO1\ZMtrInd3\zInd),330,331
BKR332,(CYSS3B_SPR_3L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_SPR_3L_PM8\P26_GGIO1\ZMtrInd3\zInd),330,332
BKR333,(CYSS3B_ASC23W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC23W_PM8\P26_GGIO1\ZMtrInd3\zInd),330,333
BKR334,(CYSS3B_ASC24L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC24L_PM8\P26_GGIO1\ZMtrInd3\zInd),330,334
BKR335,(CYSS3B_SPR_5U_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_SPR_5U_PM8\P26_GGIO1\ZMtrInd3\zInd),330,335
BKR336,(CYSS3B_ASC22L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC22L_PM8\P26_GGIO1\ZMtrInd3\zInd),330,336
BKR337,(CYSS3B_ASC19W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC19W_PM8\P26_GGIO1\ZMtrInd3\zInd),330,337
BKR338,(CYSS3B_ASC20L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC20L_PM8\P26_GGIO1\ZMtrInd3\zInd),330,338
BKR339,(CYSS3B_ASC17W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC17W_PM8\P26_GGIO1\ZMtrInd3\zInd),330,339
BKR340,(CYSS3B_ASC18L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS3B_ASC18L_PM8\P26_GGIO1\ZMtrInd3\zInd),330,340
,,,
// RP6_OL,,,
MTR323,RP6_MAIN_PM8\MMXU1\PPV\zavg >= 50,323,
BKR323,1,127,323
BKR324,RP6_MAIN_MTU\XCBR1\Pos = 2,323,324
,,,
// RP7_OL,,,
MTR325,RP7_MAIN_PM8\MMXU1\PPV\zavg >= 50,325,
BKR325,1,144,325
BKR326,RP7_MAIN_MTU\XCBR1\Pos = 2,325,326
,,,
// RP8_OL,,,
MTR327,RP8_MAIN_PM8\MMXU1\PPV\zavg >= 50,327,
BKR327,1,144,327
BKR328,RP8_MAIN_MTU\XCBR1\Pos = 2,327,328
,,,
// IYLV2_OL,,,
MTR342,IYLV2_MAIN_PM8\MMXU1\PPV\zavg >= 50,342,
BKR342,1,341,342
BKR343,IYLV2_MAIN_MTU\XCBR1\Pos = 2,342,343
,,,
// MDB2_OL,,,
MTR345,BXB_BLDG_MDB2_MTU\MMXU1\PPV\zavg >= 50,183,
BKR345,BXB_BLDG_MDB2_MTU\XCBR1\Pos = 2,183,345
,,,
// MDB9_OL,,,
MTR346,BXB_BLDG_MDB9_MTU\MMXU1\PPV\zavg >= 50,194,
BKR346,BXB_BLDG_MDB9_MTU\XCBR1\Pos = 2,194,346




