Component,Condition,Bus1,Bus2
BKR19,(MTS2_CP05B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP05B_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,19
BKR20,(MTS2_CP06A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP06A_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,20
BKR21,(MTS2_CP06B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS2_CP06B_CM4\IOX_GGIO3\ZMtrInd6\zInd),7,21
,,,
// MTS3_OL,,,
SRC2,MTS3_MAIN_CM4\MMXU1\PPV\zavg >= 50,28,
MTR28,MTS3_MAIN_CM4\MMXU1\PPV\zavg >= 50,28,
MTR16,MTS3_CRN03A_CM4\MMXU1\PPV\zavg >= 50,9,
MTR17,MTS3_CRN03B_CM4\MMXU1\PPV\zavg >= 50,9,
MTR18,MTS3_CRN02A_CM4\MMXU1\PPV\zavg >= 50,9,
MTR19,MTS3_CRN02B_CM4\MMXU1\PPV\zavg >= 50,9,
MTR20,MTS3_CRN01A_CM4\MMXU1\PPV\zavg >= 50,9,
MTR21,MTS3_CRN01B_CM4\MMXU1\PPV\zavg >= 50,9,
MTR22,MTS3_SP26_CM4\MMXU1\PPV\zavg >= 50,9,
MTR23,MTS3_LP26_CM4\MMXU1\PPV\zavg >= 50,9,
MTR24,MTS3_RP1_2_CM4\MMXU1\PPV\zavg >= 50,9,
MTR25,MTS3_CYSS1B_CM4\MMXU1\PPV\zavg >= 50,9,
//BKR2,0,14,28
BKR3,(MTS3_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),28,9
BKR22,(MTS3_CRN03A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_CRN03A_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,22
BKR23,(MTS3_CRN03B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_CRN03B_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,23
BKR24,(MTS3_CRN02A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_CRN02A_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,24
BKR25,(MTS3_CRN02B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_CRN02B_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,25
BKR26,(MTS3_CRN01A_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_CRN01A_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,26
BKR27,(MTS3_CRN01B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_CRN01B_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,27
BKR28,(MTS3_SP26_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_SP26_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,5
BKR29,(MTS3_LP26_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_LP26_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,29
BKR30,(MTS3_RP1_2_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_RP1_2_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,30
BKR31,(MTS3_CYSS1B_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (MTS3_CYSS1B_CM4\IOX_GGIO3\ZMtrInd6\zInd),9,31
,,,
// CYSS1A_OL,,,
MTR89,CYSS1A_MAIN_CM4\MMXU1\PPV\zavg >= 50,12,
MTR81,CYSS1A_01L_PM8\MMXU1\PPV\zavg >= 50,80,
MTR82,CYSS1A_02W_PM8\MMXU1\PPV\zavg >= 50,80,
MTR83,CYSS1A_03L_PM8\MMXU1\PPV\zavg >= 50,80,
MTR84,CYSS1A_04W_PM8\MMXU1\PPV\zavg >= 50,80,
MTR85,CYSS1A_05L_PM8\MMXU1\PPV\zavg >= 50,80,
MTR86,CYSS1A_06W_PM8\MMXU1\PPV\zavg >= 50,80,
MTR87,CYSS1A_07L_PM8\MMXU1\PPV\zavg >= 50,80,
MTR88,CYSS1A_08W_PM8\MMXU1\PPV\zavg >= 50,80,
BKR4,0,80,90
BKR80,(CYSS1A_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYSS1A_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),12,80
BKR81,(CYSS1A_01L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_01L_PM8\P26_GGIO1\ZMtrInd3\zInd),80,81
BKR82,(CYSS1A_02W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_02W_PM8\P26_GGIO1\ZMtrInd3\zInd),80,82
BKR83,(CYSS1A_03L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_03L_PM8\P26_GGIO1\ZMtrInd3\zInd),80,83
BKR84,(CYSS1A_04W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_04W_PM8\P26_GGIO1\ZMtrInd3\zInd),80,84
BKR85,(CYSS1A_05L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_05L_PM8\P26_GGIO1\ZMtrInd3\zInd),80,85
BKR86,(CYSS1A_06W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_06W_PM8\P26_GGIO1\ZMtrInd3\zInd),80,86
BKR87,(CYSS1A_07L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_07L_PM8\P26_GGIO1\ZMtrInd3\zInd),80,87
BKR88,(CYSS1A_08W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS1A_08W_PM8\P26_GGIO1\ZMtrInd3\zInd),80,88
,,,
// CYSS1B_OL,,,
